N,scenario,latency_ms_mean,latency_ms_std,throughput_mean,throughput_std,overhead_mean,overhead_std
100,baseline,119.11962486959455,11.639646820164714,8.46111111111111,0.7324278922077931,0.0,0.0
100,attack,349.0474492703562,147.18851078233067,3.066666666666667,1.0616200059517704,0.0,0.0
100,recovered,312.8021729322006,78.25457049204041,3.283333333333333,0.8629728977333079,0.08581366916521507,0.2577077081368406
100,weighted,349.0474492703562,147.18851078233067,3.066666666666667,1.0616200059517704,0.0,0.0
500,baseline,110.92687885140715,1.5336147418908008,9.016666666666666,0.12435016269777395,0.0,0.0
500,attack,686.3843369106527,331.803424120376,1.3777777777777778,0.62351057095992,0.0,0.0
500,recovered,423.67295826105897,169.68111252076278,2.7666666666666666,1.4211367385405353,0.4076469973679977,0.40768117729824793
500,weighted,686.3843369106527,331.803424120376,1.3777777777777778,0.62351057095992,0.0,0.0
1000,baseline,109.9015310336065,1.1261384325424526,9.1,0.0922958206990894,0.0,0.0
1000,attack,712.6260094681147,377.057968259938,0.7222222222222222,0.302254900194121,0.0,0.0
1000,recovered,342.1522928864126,232.1520643159358,4.05,1.9697480568355454,0.700876079659321,0.27496548066634063
1000,weighted,712.6260094681147,377.057968259938,0.7222222222222222,0.302254900194121,0.0,0.0
